,EvsRHE/V,filename,q/mCcm^-2_ECSA
0,0.0,0,0.0
60,1.09667469,20171122_Pd_064_05_CA_C01.mpt,1.2974544594138244
60,0.696739688,20171123_Pd_065_05_CA_C01.mpt,0.040558053491351706
60,0.69653499,20171123_Pd_066_05_CA_C01.mpt,0.03090016886129922
60,0.84697358,20171203_Pd_069_05_CA_C01.mpt,0.15389141160949865
60,0.99736269,20171203_Pd_070_05_CA_C01.mpt,0.8233921821215313
60,0.8968322999999999,20171212_AW_Pd_073_05_CA_C01.mpt,0.364876602614233
60,0.700225766,20171213_AW_Pd_074_05_CA_C01.mpt,0.06104997878295414
60,0.7997018539999999,20171214_AW_Pd_076_05_CA_C01.mpt,0.10709727114978373
60,0.8500040799999999,20171214_AW_Pd_077_05_CA_C01.mpt,0.20835692119155352
60,0.9999897299999999,20171214_AW_Pd_078_05_CA_C01.mpt,0.8408505722369787
60,0.9001198699999999,20171219_AW_Pd_079_05_CA_C01.mpt,0.29313832033490084
60,0.95004761,20171219_AW_Pd_080_05_CA_C01.mpt,0.6456500746175069
60,0.94969058,20180103_POR_Pd_081_03_CA_C01.mpt,0.7457802099960749
60,0.79976505,20180104_POR_Pd_084_03_CA_C01.mpt,0.14103505550362233
60,0.84951183,20180104_POR_Pd_085_03_CA_C01.mpt,0.22138684565291897
60,0.6992385289999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.03101888068649348
60,0.80016487,20180226_POR_Pd_113_03_CA_C01.mpt,0.09658699462050077
60,0.89941114,20180227_POR_Pd_114_03_CA_C01.mpt,0.3612009144818977
60,0.9495156299999999,20180227_POR_Pd_115_03_CA_C01.mpt,0.6860759260321101
60,1.09972249,20180313_Pd_118_03_CA_C01.mpt,1.2396160954274353
60,1.1995000400000002,20180313_Pd_119_03_CA_C01.mpt,1.2990545661139634
180,1.0967524499999999,20171122_Pd_064_05_CA_C01.mpt,1.766395273092441
180,0.696714494,20171123_Pd_065_05_CA_C01.mpt,0.1047264018257527
180,1.1879640400000002,20171123_Pd_066_05_CA_C01.mpt,1.5878820541760723
180,0.84668386,20171203_Pd_069_05_CA_C01.mpt,0.37760180050476083
180,0.9969746,20171203_Pd_070_05_CA_C01.mpt,1.4582672374429226
180,0.89663058,20171212_AW_Pd_073_05_CA_C01.mpt,0.9240242224332478
180,0.699792872,20171213_AW_Pd_074_05_CA_C01.mpt,0.1341222980317804
180,0.800206228,20171214_AW_Pd_076_05_CA_C01.mpt,0.29604134694698725
180,0.84989561,20171214_AW_Pd_077_05_CA_C01.mpt,0.5866702516968326
180,0.99977605,20171214_AW_Pd_078_05_CA_C01.mpt,1.4515837972052197
180,0.8997417799999999,20171219_AW_Pd_079_05_CA_C01.mpt,0.6769569228122492
180,0.94992672,20171219_AW_Pd_080_05_CA_C01.mpt,1.3829846563832455
180,0.9497795699999999,20180103_POR_Pd_081_03_CA_C01.mpt,1.6044691547821532
180,0.799797743,20180104_POR_Pd_084_03_CA_C01.mpt,0.37073478441224583
180,0.8491456599999999,20180104_POR_Pd_085_03_CA_C01.mpt,0.555115110247915
180,0.699937319,20180226_POR_Pd_112_03_CA_C01.mpt,0.074202468378982
180,0.7998733809999999,20180226_POR_Pd_113_03_CA_C01.mpt,0.22544975156494523
180,0.89964151,20180227_POR_Pd_114_03_CA_C01.mpt,0.8603695593008739
180,0.95019764,20180227_POR_Pd_115_03_CA_C01.mpt,1.470918954988532
180,1.09993051,20180313_Pd_118_03_CA_C01.mpt,1.5802278489065604
180,1.1998670200000001,20180313_Pd_119_03_CA_C01.mpt,1.5250899335072803
600,1.0967857099999998,20171122_Pd_064_05_CA_C01.mpt,2.274985789950767
600,0.697140263,20171123_Pd_065_05_CA_C01.mpt,0.28391958360025626
600,1.1874616599999999,20171123_Pd_066_05_CA_C01.mpt,2.070454552294959
600,0.84723447,20171203_Pd_069_05_CA_C01.mpt,1.0933832637375245
600,0.9968561699999999,20171203_Pd_070_05_CA_C01.mpt,2.574432024938532
600,0.89638442,20171212_AW_Pd_073_05_CA_C01.mpt,2.8280969724053175
600,0.699679743,20171213_AW_Pd_074_05_CA_C01.mpt,0.3324617072950523
600,0.799410797,20171214_AW_Pd_076_05_CA_C01.mpt,0.9190885685544714
600,0.84941576,20171214_AW_Pd_077_05_CA_C01.mpt,1.8966929213800907
600,1.00016318,20171214_AW_Pd_078_05_CA_C01.mpt,2.5627682642337453
600,0.89992301,20171219_AW_Pd_079_05_CA_C01.mpt,1.8485660224796423
600,0.94972853,20171219_AW_Pd_080_05_CA_C01.mpt,3.244650457737648
600,0.95005555,20180103_POR_Pd_081_03_CA_C01.mpt,3.9881638950673812
600,0.79994735,20180104_POR_Pd_084_03_CA_C01.mpt,1.0216369139985977
