,0,1,2,3,4,5,6,7
0,93.3170877023,96.8773512639,97.802430513,97.8722942689,97.556736536,97.0682299895,96.5635269426,95.9777168373
1,Pd 099,Pd 099,Pd 099,Pd 099,Pd 099,Pd 099,Pd 099,Pd 099
