,EvsRHE/V,filename,i/mAcm^-2_ECSA
0,0.0,0,0.0
60,1.0967323900000001,20171122_Pd_064_05_CA_C01.mpt,12.624186754484422
60,0.6968439249999999,20171123_Pd_065_05_CA_C01.mpt,0.5593133317198004
60,0.696656988,20171123_Pd_066_05_CA_C01.mpt,0.5100264152436532
60,0.84651415,20171203_Pd_069_05_CA_C01.mpt,2.733176046430372
60,0.99637459,20171203_Pd_070_05_CA_C01.mpt,6.612533475781954
60,0.89686085,20171212_AW_Pd_073_05_CA_C01.mpt,5.0308361424537535
60,0.699918768,20171213_AW_Pd_074_05_CA_C01.mpt,0.772393519633
60,0.799949369,20171214_AW_Pd_076_05_CA_C01.mpt,1.709445899285075
60,0.84955959,20171214_AW_Pd_077_05_CA_C01.mpt,3.30129676500757
60,0.9991845899999999,20171214_AW_Pd_078_05_CA_C01.mpt,7.924812828995632
60,0.89980012,20171219_AW_Pd_079_05_CA_C01.mpt,3.938637898258439
60,0.94972201,20171219_AW_Pd_080_05_CA_C01.mpt,8.09011706387098
60,0.94970085,20180103_POR_Pd_081_03_CA_C01.mpt,9.410741685843991
60,0.799297496,20180104_POR_Pd_084_03_CA_C01.mpt,2.3657276718396445
60,0.84976506,20180104_POR_Pd_085_03_CA_C01.mpt,5.743896575243964
60,0.6998225699999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.44627115722629956
60,0.79950875,20180226_POR_Pd_113_03_CA_C01.mpt,1.3462367296551727
60,0.89973594,20180227_POR_Pd_114_03_CA_C01.mpt,4.908361945673915
60,0.9497706899999999,20180227_POR_Pd_115_03_CA_C01.mpt,8.678723592699999
600,1.09682198,20171122_Pd_064_05_CA_C01.mpt,1.3589037405874962
600,0.696480098,20171123_Pd_065_05_CA_C01.mpt,0.37085411694471293
600,1.1878222100000002,20171123_Pd_066_05_CA_C01.mpt,0.9995551493614327
600,0.84717999,20171203_Pd_069_05_CA_C01.mpt,2.2715229264419494
600,0.99685769,20171203_Pd_070_05_CA_C01.mpt,1.6196591413941601
600,0.89708082,20171212_AW_Pd_073_05_CA_C01.mpt,4.686434908745009
600,0.6997406899999999,20171213_AW_Pd_074_05_CA_C01.mpt,0.45730726207036215
600,0.7995807149999999,20171214_AW_Pd_076_05_CA_C01.mpt,1.5269507476384372
600,0.85001492,20171214_AW_Pd_077_05_CA_C01.mpt,3.0995751701277063
600,0.99919052,20171214_AW_Pd_078_05_CA_C01.mpt,2.0268513648717907
600,0.89993398,20171219_AW_Pd_079_05_CA_C01.mpt,2.9026496761527527
600,0.94964607,20171219_AW_Pd_080_05_CA_C01.mpt,4.107879484654974
600,0.9495808,20180103_POR_Pd_081_03_CA_C01.mpt,5.800700595728528
600,0.799700729,20180104_POR_Pd_084_03_CA_C01.mpt,1.5748210568224263
600,0.84985727,20180104_POR_Pd_085_03_CA_C01.mpt,5.303064894715896
600,0.699972552,20180226_POR_Pd_112_03_CA_C01.mpt,0.27468021533490117
600,0.799870296,20180226_POR_Pd_113_03_CA_C01.mpt,0.769924956360133
600,0.90009464,20180227_POR_Pd_114_03_CA_C01.mpt,3.9135007127721684
600,0.94973329,20180227_POR_Pd_115_03_CA_C01.mpt,4.175433361926987
3300,1.09698553,20171122_Pd_064_05_CA_C01.mpt,0.6031037634679147
3300,0.696632614,20171123_Pd_065_05_CA_C01.mpt,0.21668167085551385
3300,1.1876585300000002,20171123_Pd_066_05_CA_C01.mpt,0.47595406354911696
3300,0.84680463,20171203_Pd_069_05_CA_C01.mpt,2.139368028233408
3300,0.99716495,20171203_Pd_070_05_CA_C01.mpt,1.1248174248946439
3300,0.89671214,20171212_AW_Pd_073_05_CA_C01.mpt,4.632509810562612
3300,0.6996422489999999,20171213_AW_Pd_074_05_CA_C01.mpt,0.37897964045024934
3300,0.799725845,20171214_AW_Pd_076_05_CA_C01.mpt,1.075682309135931
3300,0.84969453,20171214_AW_Pd_077_05_CA_C01.mpt,1.7694131323956526
3300,0.99976893,20171214_AW_Pd_078_05_CA_C01.mpt,1.279285769256966
3300,0.9001583999999999,20171219_AW_Pd_079_05_CA_C01.mpt,2.2814296914591745
3300,0.94957842,20171219_AW_Pd_080_05_CA_C01.mpt,2.050112270769047
3300,0.94976848,20180103_POR_Pd_081_03_CA_C01.mpt,6.381697570274918
3300,0.799896977,20180104_POR_Pd_084_03_CA_C01.mpt,1.0043246450312144
3300,0.8498023,20180104_POR_Pd_085_03_CA_C01.mpt,4.336181951117401
3300,0.699918657,20180226_POR_Pd_112_03_CA_C01.mpt,0.16902992686158477
3300,0.799997627,20180226_POR_Pd_113_03_CA_C01.mpt,0.21692709234407434
3300,0.89984633,20180227_POR_Pd_114_03_CA_C01.mpt,3.224712290177125
3300,0.94987623,20180227_POR_Pd_115_03_CA_C01.mpt,3.071664350605473
