,0,1,2,3,4,5,6,7,8
0,83.5343661837,83.4600453801,82.8771727329,81.9809054844,80.8751341578,79.8082244675,78.6875893953,77.7122910305,76.7876456533
1,"Pd (105, cycle 3)","Pd (105, cycle 3)","Pd (105, cycle 3)","Pd (105, cycle 3)","Pd (105, cycle 3)","Pd (105, cycle 3)","Pd (105, cycle 3)","Pd (105, cycle 3)","Pd (105, cycle 3)"
