,0,1,2,3,4,5,6,7,8
0,30.5404048917,30.5902630011,30.5499066864,30.4211567565,30.2077270717,29.9949596125,29.7495957103,29.5192657808,29.2789651013
1,Pd 129,Pd 129,Pd 129,Pd 129,Pd 129,Pd 129,Pd 129,Pd 129,Pd 129
