,EvsRHE/V,filename,i/mAcm^-2_ECSA
0,0.0,0,0.0
60,1.09667469,20171122_Pd_064_05_CA_C01.mpt,7.264241973880405
60,0.696739688,20171123_Pd_065_05_CA_C01.mpt,0.5800054168619007
60,0.69653499,20171123_Pd_066_05_CA_C01.mpt,0.4141486128295278
60,0.84697358,20171203_Pd_069_05_CA_C01.mpt,2.0302070552525704
60,0.99736269,20171203_Pd_070_05_CA_C01.mpt,7.519521295343898
60,0.8968322999999999,20171212_AW_Pd_073_05_CA_C01.mpt,4.939223329223949
60,0.700225766,20171213_AW_Pd_074_05_CA_C01.mpt,0.7118628609979832
60,0.7997018539999999,20171214_AW_Pd_076_05_CA_C01.mpt,1.5692991929258224
60,0.8500040799999999,20171214_AW_Pd_077_05_CA_C01.mpt,3.0448611942716886
60,0.9999897299999999,20171214_AW_Pd_078_05_CA_C01.mpt,7.2612847886882275
60,0.9001198699999999,20171219_AW_Pd_079_05_CA_C01.mpt,3.6079712000676865
60,0.95004761,20171219_AW_Pd_080_05_CA_C01.mpt,7.3819528162434525
60,0.94969058,20180103_POR_Pd_081_03_CA_C01.mpt,8.56361486655043
60,0.79976505,20180104_POR_Pd_084_03_CA_C01.mpt,2.1504403721400998
60,0.84951183,20180104_POR_Pd_085_03_CA_C01.mpt,2.956272600419749
60,0.6992385289999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.41059884184909456
60,0.80016487,20180226_POR_Pd_113_03_CA_C01.mpt,1.2319435487728676
60,0.89941114,20180227_POR_Pd_114_03_CA_C01.mpt,4.545596618353199
60,0.9495156299999999,20180227_POR_Pd_115_03_CA_C01.mpt,8.056682050792027
60,1.09972249,20180313_Pd_118_03_CA_C01.mpt,5.657150354793007
60,1.1995000400000002,20180313_Pd_119_03_CA_C01.mpt,3.0291857963990547
180,1.0967524499999999,20171122_Pd_064_05_CA_C01.mpt,2.3003827763786457
180,0.696714494,20171123_Pd_065_05_CA_C01.mpt,0.49703645605134905
180,1.1879640400000002,20171123_Pd_066_05_CA_C01.mpt,2.108888999646113
180,0.84668386,20171203_Pd_069_05_CA_C01.mpt,1.7735420456870883
180,0.9969746,20171203_Pd_070_05_CA_C01.mpt,4.079088688451526
