,0,1,2,3,4,5,6,7,8
0,93.6529481492,96.5571558763,97.0890890558,96.7820136223,96.1761291568,95.4834101086,94.7215185932,93.9667309517,93.1813812904
1,Pd 128,Pd 128,Pd 128,Pd 128,Pd 128,Pd 128,Pd 128,Pd 128,Pd 128
