,EvsRHE/V,filename,q/mCcm^-2_ECSA
0,0.0,0,0.0
60,1.09667469,20171122_Pd_064_05_CA_C01.mpt,1.308337310690922
60,0.696739688,20171123_Pd_065_05_CA_C01.mpt,0.04055155900720577
60,0.69653499,20171123_Pd_066_05_CA_C01.mpt,0.031024672185847386
60,0.84697358,20171203_Pd_069_05_CA_C01.mpt,0.15470781167108758
60,0.99736269,20171203_Pd_070_05_CA_C01.mpt,0.8216605476691201
60,0.8968322999999999,20171212_AW_Pd_073_05_CA_C01.mpt,0.3650397306359674
60,0.700225766,20171213_AW_Pd_074_05_CA_C01.mpt,0.060994909345119974
60,0.7997018539999999,20171214_AW_Pd_076_05_CA_C01.mpt,0.10706496103177796
60,0.8500040799999999,20171214_AW_Pd_077_05_CA_C01.mpt,0.2079648306360557
60,0.9999897299999999,20171214_AW_Pd_078_05_CA_C01.mpt,0.8410448313503525
60,0.9001198699999999,20171219_AW_Pd_079_05_CA_C01.mpt,0.29313832033490084
60,0.95004761,20171219_AW_Pd_080_05_CA_C01.mpt,0.6458120540642248
60,0.94969058,20180103_POR_Pd_081_03_CA_C01.mpt,0.7461707219531352
60,0.79976505,20180104_POR_Pd_084_03_CA_C01.mpt,0.1411175032152461
60,0.84951183,20180104_POR_Pd_085_03_CA_C01.mpt,0.2212099383561644
60,0.6992385289999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.031004302432146635
60,0.80016487,20180226_POR_Pd_113_03_CA_C01.mpt,0.09668155795966321
60,0.89941114,20180227_POR_Pd_114_03_CA_C01.mpt,0.36106568388868093
60,0.9495156299999999,20180227_POR_Pd_115_03_CA_C01.mpt,0.6860759260321101
60,1.09972249,20180313_Pd_118_03_CA_C01.mpt,1.2630183438664722
60,1.1995000400000002,20180313_Pd_119_03_CA_C01.mpt,1.3248126437768242
180,1.0967524499999999,20171122_Pd_064_05_CA_C01.mpt,1.7812115288108248
180,0.696714494,20171123_Pd_065_05_CA_C01.mpt,0.10470963218574861
180,1.1879640400000002,20171123_Pd_066_05_CA_C01.mpt,1.5942799672626542
180,0.84668386,20171203_Pd_069_05_CA_C01.mpt,0.379604993080383
180,0.9969746,20171203_Pd_070_05_CA_C01.mpt,1.4552004293725902
180,0.89663058,20171212_AW_Pd_073_05_CA_C01.mpt,0.9244373326254612
180,0.699792872,20171213_AW_Pd_074_05_CA_C01.mpt,0.13400131454086234
180,0.800206228,20171214_AW_Pd_076_05_CA_C01.mpt,0.29595203439259865
180,0.84989561,20171214_AW_Pd_077_05_CA_C01.mpt,0.585566242943169
180,0.99977605,20171214_AW_Pd_078_05_CA_C01.mpt,1.4519191521312236
180,0.8997417799999999,20171219_AW_Pd_079_05_CA_C01.mpt,0.6769569228122492
180,0.94992672,20171219_AW_Pd_080_05_CA_C01.mpt,1.383331616909182
180,0.9497795699999999,20180103_POR_Pd_081_03_CA_C01.mpt,1.6053093009556227
180,0.799797743,20180104_POR_Pd_084_03_CA_C01.mpt,0.37095151233485335
180,0.8491456599999999,20180104_POR_Pd_085_03_CA_C01.mpt,0.5546715251141554
180,0.699937319,20180226_POR_Pd_112_03_CA_C01.mpt,0.07416759470097521
180,0.7998733809999999,20180226_POR_Pd_113_03_CA_C01.mpt,0.22567047777560206
