,(Q-Qo)/C,EvsRHE/V,filename
0,0.0,0.0,0
60,0.1459973605,1.09667469,20171122_Pd_064_05_CA_C01.mpt
60,0.00253244486,0.696739688,20171123_Pd_065_05_CA_C01.mpt
60,0.0024639794649999997,0.69653499,20171123_Pd_066_05_CA_C01.mpt
60,0.01341471435,0.84697358,20171203_Pd_069_05_CA_C01.mpt
60,0.046883950849999995,0.99736269,20171203_Pd_070_05_CA_C01.mpt
60,0.032660104700000005,0.8968322999999999,20171212_AW_Pd_073_05_CA_C01.mpt
60,0.0033809478249999998,0.700225766,20171213_AW_Pd_074_05_CA_C01.mpt
60,0.010646539724999998,0.7997018539999999,20171214_AW_Pd_076_05_CA_C01.mpt
60,0.0110512511,0.8500040799999999,20171214_AW_Pd_077_05_CA_C01.mpt
60,0.07280925105,0.9999897299999999,20171214_AW_Pd_078_05_CA_C01.mpt
60,0.025558730149999997,0.9001198699999999,20171219_AW_Pd_079_05_CA_C01.mpt
60,0.051484136949999995,0.95004761,20171219_AW_Pd_080_05_CA_C01.mpt
60,0.05699998144999998,0.94969058,20180103_POR_Pd_081_03_CA_C01.mpt
60,0.01206978005,0.79976505,20180104_POR_Pd_084_03_CA_C01.mpt
60,0.0193779906,0.84951183,20180104_POR_Pd_085_03_CA_C01.mpt
60,0.00263877618,0.6992385289999999,20180226_POR_Pd_112_03_CA_C01.mpt
60,0.0049375271649999995,0.80016487,20180226_POR_Pd_113_03_CA_C01.mpt
60,0.028932193250000005,0.89941114,20180227_POR_Pd_114_03_CA_C01.mpt
60,0.023930328299999998,0.9495156299999999,20180227_POR_Pd_115_03_CA_C01.mpt
60,0.155881724,1.09972249,20180313_Pd_118_03_CA_C01.mpt
60,0.15434067300000004,1.1995000400000002,20180313_Pd_119_03_CA_C01.mpt
180,0.1987653945,1.0967524499999999,20171122_Pd_064_05_CA_C01.mpt
180,0.00653911653,0.696714494,20171123_Pd_065_05_CA_C01.mpt
180,0.12661771500000002,1.1879640400000002,20171123_Pd_066_05_CA_C01.mpt
180,0.03291554895,0.84668386,20171203_Pd_069_05_CA_C01.mpt
180,0.08303373650000001,0.9969746,20171203_Pd_070_05_CA_C01.mpt
180,0.08270940814999998,0.89663058,20171212_AW_Pd_073_05_CA_C01.mpt
180,0.007427692864999999,0.699792872,20171213_AW_Pd_074_05_CA_C01.mpt
180,0.0294294703,0.800206228,20171214_AW_Pd_076_05_CA_C01.mpt
180,0.031116990149999996,0.84989561,20171214_AW_Pd_077_05_CA_C01.mpt
180,0.12569264100000005,0.99977605,20171214_AW_Pd_078_05_CA_C01.mpt
180,0.059023874100000005,0.8997417799999999,20171219_AW_Pd_079_05_CA_C01.mpt
180,0.1102791965,0.94992672,20171219_AW_Pd_080_05_CA_C01.mpt
180,0.1226295775,0.9497795699999999,20180103_POR_Pd_081_03_CA_C01.mpt
180,0.03172748285,0.799797743,20180104_POR_Pd_084_03_CA_C01.mpt
180,0.048589225599999994,0.8491456599999999,20180104_POR_Pd_085_03_CA_C01.mpt
180,0.006312403984999999,0.699937319,20180226_POR_Pd_112_03_CA_C01.mpt
180,0.011524991299999999,0.7998733809999999,20180226_POR_Pd_113_03_CA_C01.mpt
180,0.06891560169999998,0.89964151,20180227_POR_Pd_114_03_CA_C01.mpt
180,0.05130565315,0.95019764,20180227_POR_Pd_115_03_CA_C01.mpt
180,0.19871365199999996,1.09993051,20180313_Pd_118_03_CA_C01.mpt
180,0.18119593500000006,1.1998670200000001,20180313_Pd_119_03_CA_C01.mpt
600,0.25599505100000003,1.0967857099999998,20171122_Pd_064_05_CA_C01.mpt
600,0.017727938800000002,0.697140263,20171123_Pd_065_05_CA_C01.mpt
