,0,1,2,3,4,5
0,153.525858973,111.908710446,89.1420297316,82.8771727329,91.7513353498,21.76674922
1,Pd_099,"Pd (100, cycle 3)","Pd (104, cycle 3)","Pd (105, cycle 3)",Pd_128,Pd_129
