,0,1,2,3,4,5,6,7,8
0,104.949226608,111.242671405,111.908710446,111.531586497,110.755476854,109.871893612,108.953787453,107.968296212,107.063974308
1,Pd (100),Pd (100),Pd (100),Pd (100),Pd (100),Pd (100),Pd (100),Pd (100),Pd (100)
